Frame Info: 
Type,Depth
Format,Z16
Frame Number,22986
Timestamp (ms),1617721226912.18
Resolution x,848
Resolution y,480
Bytes per pixel,2

Intrinsic:,
Fx,426.359192
Fy,426.359192
PPx,425.265106
PPy,236.504898
Distorsion,Brown Conrady
